i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,Other,2015-08-12T08:50:00,,,,,,,,-123.1193228,49.2855467,491322.4303,5459206.372
Near collision with moving object or vehicle,"Vehicle, head on",2015-08-19T18:00:00,This one really scared me. The light just turned green and I was proceeding through the intersection when an asshole ran a ridiculously late red at blinding speed and nearly t-boned me. At that speed I would have died or been severely injured.,"Busy street, no bike facilities",Flat,W,Heading straight,1986,M,-123.0339858,49.24451979,497526.3876,5454639.099
Near collision with moving object or vehicle,"Vehicle, side",2015-08-25T07:45:00,"I was heading straight, car in right turn lane was stopped, as there are no right turns allowed when cycle light is green. Vehicle in middle lane made illegal right turn (not a turning lane) and crossed my intended path, I slammed on the brakes and narrowly avoided crashing into him. ",Cycle track,Flat,NW,Heading straight,1958,M,-123.1250668,49.28047442,490903.7773,5458643.159
Near collision with moving object or vehicle,"Vehicle, angle",2015-09-05T16:00:00,"Cycling in the right hand lane, the first lane without parked cars in it. My lane was clear. A Busters Towing truck in the next lane to the left was stopped in traffic and suddenly pulled to the right, almost side swiping me with the tow truck. Its towed vehicle then almost hit me from behind  ","Busy street, no bike facilities",Downhill,SE,Heading straight,1983,M,-123.1233501,49.27962053,491028.4734,5458548.026
Near collision with moving object or vehicle,"Vehicle, side",2015-09-14T17:00:00,Cycling NB on Carrall. A NB vehicle turning right onto Keefer allowed only the first bike at the light to go then attempted to turn without yielding to the rest of the bike traffic.  Vehicle stopped just short of T-boning me. ,,,,,1983,M,-123.1044406,49.27914809,492403.7353,5458493.431
Near collision with moving object or vehicle,"Vehicle, angle",2015-09-14T17:05:00,Cycling NB on Carrall. A NB vehicle turning right onto Hastings failed to yield to the bike traffic.  Driver didn't stop even after seeing me front bumper came within a few centimetres of me and I had to swerve around the car to avoid being hit. I was already ringing my bell & continued doing so. ,Cycle track,Flat,N,Heading straight,1983,M,-123.1042957,49.28147177,492414.6263,5458751.742
Near collision with moving object or vehicle,"Vehicle, side",2016-05-18T21:00:00,Driver rolled through cross-street intersection without fully stopping at stop sign.,"Quiet street, no bike facilities",Downhill,N,Heading straight,1984,M,-123.1057119,49.23172311,492303.8954,5453221.317
Near collision with moving object or vehicle,"Vehicle, side",2015-09-24T08:15:00,Driver wasn't paying attention and rolled into bike lane while rounding curve.,Busy street bike lane,Flat,S,Heading straight,1962,M,-123.1364822,49.29663253,490076.7623,5460440.905
Near collision with moving object or vehicle,"Vehicle, side",2015-09-24T08:25:00,I had right of  way in the roundabout and a taxi didn't yield and almost hit me.,"Quiet street, no bike facilities",Flat,NW,Heading straight,1962,M,-123.1197023,49.27312489,491292.6427,5457825.476
Near collision with moving object or vehicle,"Vehicle, rear end",2015-09-24T08:35:00,"One of the two general purpose lanes ends here, and an SUV driver attempted to pass a line of cars in the lane that ends before the lane ends, but didn't make it in time ended up straddling the bike lane and the remaining lane and passing very close to myself.","Busy street, no bike facilities",Flat,W,Heading straight,1982,M,-123.2298982,49.25806194,483271.7157,5456169.463
Near collision with moving object or vehicle,"Vehicle, side",2015-02-12T21:20:00,"Driver didn't see me after she stopped and decided to cross the street very, very slow.  Breaking was slow due to rain and downhill.  I had to lock my rear wheel and fell on my side, hitting the back tires of the car. The old lady didn't see me. Minor bruises on my knee and ankle, also bike damage","Quiet street, no bike facilities",Downhill,W,Heading straight,1979,M,-123.1353557,49.28587387,490156.5271,5459244.709
Near collision with moving object or vehicle,"Vehicle, side",2015-10-13T17:30:00,Car came quickly out of parking lot and it had to slam on brakes in order to not t- bone me.  Young man (18?) driving too fast out of templeton school parking lot,"Busy street, no bike facilities",Flat,W,Heading straight,1976,F,-123.0597281,49.27754874,495655.6585,5458312.098
Near collision with stationary object or vehicle,"Vehicle, open door",2015-10-13T17:30:00,Riding downhill at a good speed and then a car opened the door unexpectedly (large cadillac style car meant the door was large!). Had to swerve quickly further out of extended door zone.,"Busy street, no bike facilities",Downhill,W,Heading straight,1976,F,-123.0691051,49.27761173,494973.6264,5458319.683
Near collision with moving object or vehicle,"Vehicle, side",2015-10-19T09:00:00,I was dropping my daughter off at school. Car did not yield the right away as I was stop at a four way stop. The car spontaneously accelerated out of turn in front of me forcing me to brake suddenly. ,,,,,,,-123.1786895,49.23284405,486991.2364,5453355.922
Near collision with moving object or vehicle,"Vehicle, side",2015-10-22T04:30:00,"Approaching roundabout, I was heading straight. Vehicle coming from right, rather than go around the roundabout to turn left, cut through. I had to slam on breaks and nearly skidded into the driver's door. The road south (on Angus) was closed, so driver pro didn't expect anyone to head through intsx",Quiet street bike lane,Downhill,S,Heading straight,1981,M,-123.1478602,49.23075978,489235.1857,5453119.369
Near collision with moving object or vehicle,"Vehicle, angle",2015-10-26T08:10:00,For the fourth time in this spot a driver cut into the bike lane while rounding the corner while I was there. I had to scream at him to avoid the collision.,Busy street bike lane,Flat,E,Heading straight,1962,M,-123.1364393,49.2964716,490079.8503,5460423.009
Near collision with moving object or vehicle,"Vehicle, side",2015-10-22T16:45:00,"I was heading east and a BMW driver to on Cook was about to roll though the stop sign as I was approaching. I slammed on the brakes just before I crossed his path. As I did, he finally looked right (he never looked right before) and continued on his merry way.",Quiet street bike lane,Flat,E,Heading straight,1958,M,-123.1107867,49.26975074,491940.6339,5457449.381
Near collision with moving object or vehicle,"Vehicle, side",2015-10-27T08:45:00,"I was heading north down Yukon St. Driver approached stop sign heading west, did not stop, looking the other way as she drove out right in front of me.",,,,,,,-123.1126428,49.25390595,491802.9856,5455688.111
Near collision with moving object or vehicle,"Vehicle, angle",2015-10-27T08:55:00,"I was headed north on Heather St through green light. Driver ahead of me went to turn right onto 12th, as cars are not allowed straight through intersection, but then illegally turned around barricade to go straight on Heather, and nearly collided with the side/ rear of me and my bike. ",,,,,,,-123.1199759,49.26047764,491270.5107,5456419.507
Near collision with stationary object or vehicle,"Vehicle, head on",2014-09-01T08:05:00,"Stopped at road crossing for bikes. Approaching vehicle stopped to let me go but vehicle behind fail to stop, hit the car and eject it across the bike crossing. Have I proceed with crossing I would be hit.","Busy street, no bike facilities",Downhill,W,Turning right,1960,,-123.0283302,49.28788933,497939.8262,5459460.339
Near collision with moving object or vehicle,"Vehicle, side",2015-10-27T17:15:00,SUV came out of parking lot and failed to look in the bike lane for traffic. Started moving into the vehicle lane (right turn) so I yelled at him and managed to stop my bike before hitting him side on. Of note there as constrution/a detour marked with cones along the bike lane. ,Busy street bike lane,Flat,E,Heading straight,1975,F,-123.1118166,49.27533336,491866.6249,5458070.114
Near collision with moving object or vehicle,"Vehicle, side",2015-10-20T17:25:00,Turning Left onto Cambie while going eastbound on Kent (via bike path) very hard to negotiate vehicles turning off or on cambie,Cycle track,Flat,NE,Turning left,1984,M,-123.1173098,49.20609572,491455.1233,5450373.58
Near collision with moving object or vehicle,"Vehicle, side",2015-10-28T15:05:00,"Travelling South on Boundary, a car stopped at Pender began moving through the intersection without regard for my approach. Driver stopped at the last second, but I needed to swerve and the severe breaking almost made me lose control of the bicycle (tires seized).","Busy street, no bike facilities",Downhill,S,Heading straight,1987,M,-123.0237007,49.28020846,498276.2153,5458606.334
Near collision with moving object or vehicle,"Vehicle, rear end",2005-11-03T21:20:00,"I were approaching the light at the same time as a vehicle, there was 3-4 feet for me to be on the shoulder, right up against the curb. I was slowly approaching the stop line to press the signal when the driver veered into my path indicting a left turn, which cut me off and giving me inches. ","Quiet street, no bike facilities",Downhill,N,Heading straight,,M,-123.1049073,49.26302626,492367.3038,5456701.207
Near collision with moving object or vehicle,"Vehicle, side",2015-10-29T16:45:00,"A cab coming from side street made to turn left onto SW Marine Dr (north). Cab stopped, looked, and proceeded into intersection without noticing me. I slammed my brakes and barely managed to stop before running into his driver's side door. He gave a quick wave of apology and continued on his way.","Busy street, no bike facilities",Downhill,S,Heading straight,1981,M,-123.1422758,49.20714014,489636.8121,5450492.807
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-05T08:45:00,"After crossing Granville, headed to West 75th Avenue via Milton. Traffic headed to SB Granvil_e/Arthur Laing ignored stop and roll through intersection.","Busy street, no bike facilities",Downhill,SW,Heading straight,1981,M,-123.1408479,49.20515049,489740.4077,5450271.424
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-05T08:15:00,"2 bikes stopped at red light, positioned correctly. Man in large pickup truck, pulls up behind cyclists, aggressively surges his engine. Light turns green, bikes advance, pedestrians advance, and pickup truck pulls around bikes to the left, then cuts across bikes and pedestrians to turn right.","Busy street, no bike facilities",Flat,W,Heading straight,1974,M,-123.1384885,49.26545222,489924.5404,5456974.835
Near collision with moving object or vehicle,"Vehicle, side",2015-11-12T09:20:00,"Driver intimidation and punishment pass. A driver approached behind me to within a foot and laid on the horn. When I didn't readjust my road position (because of the dooring zone) he proceeded to near miss pass me, slow down, let me pass and repeat for three times. This is a hellish stretch of road!","Busy street, no bike facilities",Uphill,E,Heading straight,1986,M,-123.0400622,49.24459135,497084.1256,5454647.271
Near collision with moving object or vehicle,"Vehicle, side",2015-11-16T18:15:00,A car nearly did a right hook into me as I traveled straight through on the bike lane. Driver failed to see cyclist in Beckley. It was dark and very wet.,Busy street bike lane,Flat,E,Heading straight,1976,F,-123.1124067,49.26894567,491822.6472,5457360.055
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-20T16:55:00,"I was travelling SE on the Dunsmuir separated bike lane. An SUV travelling NW was making a right-hand turn and failed to stop for both me and the cyclist in front of me. The cyclist in front of me did fall as a result of dodging, but there was no impact with the vehicle.",Cycle track,Downhill,SE,Heading straight,1986,M,-123.1123102,49.28112532,491831.6831,5458714.063
Near collision with moving object or vehicle,"Vehicle, side",2015-11-24T16:40:00,"Eastbound on separated facility, I was caught at red on Dunsmuir at Beatty. There is a car heading west that was signalling to turn right. The light turn green and she started turning right across my path, I yelled she stopped, but glared at me, even though she is the one who should be yielding",Cycle track,Downhill,E,Heading straight,1958,M,-123.1105614,49.2798865,491958.6719,5458576.154
Near collision with moving object or vehicle,"Vehicle, side",2015-11-03T05:30:00,"Crossing on bike crosswalk, when motorist was doing a rolling creep across the bike crosswalk while waiting for the light to turn green. I yelled, he stopped and glared at me. Sight lines are not very good here, as there is a large pillar.",Mixed use trail,Flat,E,Heading straight,1958,M,-123.1146491,49.26650938,491659.112,5457089.456
Near collision with moving object or vehicle,"Vehicle, side",2015-11-05T08:00:00,"I almost hit by a car as it passed at an aggressively fast speed, and passed closely to scare me.  I biked another couple of blocks, caught the driver at a red light, slammed my fist on his hood and yelled at him.  He yelled back and threatened to kill me, then drove off.  What a pussy!","Busy street, no bike facilities",Flat,E,Heading straight,1975,M,-123.1224489,49.28870459,491095.6571,5459557.801
Near collision with moving object or vehicle,"Vehicle, side",2015-12-07T19:45:00,Car blew the stop sign on Selkirk at speed,Quiet street bike lane,Downhill,E,Heading straight,1982,M,-123.1321263,49.24641239,490383.7114,5454857.346
Near collision with moving object or vehicle,"Vehicle, side",2015-12-23T10:30:00,"This is a four-way stop. I approach the intersection, stopped, observed the car approaching from the North, and then continued into the intersection.The motorist slowed on approach, then accelerated into the intersection without stopping, nearly hitting me side-on.","Busy street, no bike facilities",Flat,W,Heading straight,1986,M,-123.1207967,49.23745364,491206.7042,5453860.023
Near collision with moving object or vehicle,"Vehicle, side",2016-01-12T17:25:00,Getting off the kent bike lane heading north onto cambie street.  Cars turning on or off cambie street onto/off kent. Have had many very close calls,Busy street bike lane,Flat,E,Heading straight,1987,M,-123.1173259,49.20609222,491453.9505,5450373.192
Near collision with moving object or vehicle,"Vehicle, side",2016-01-06T04:50:00,"SUV driver attempted to overtake in the mini-roundabout, where there of course is not room to do so. Was able to swerve out of the way. Driverthen stopped then they drove away.","Quiet street, no bike facilities",Flat,S,Heading straight,1982,M,-123.2031512,49.26016606,485218.5573,5456397.804
Near collision with moving object or vehicle,"Vehicle, angle",2015-11-10T09:00:00,"At 2-lane roundabout, both lanes are marked for going straight, I was using right lane to go straight. Driver a few cars behind used the left lane to pass the cars in the right lane to turn right from the left lane, which isn't allowed, and nearly right hooked me.","Quiet street, no bike facilities",Flat,W,Heading straight,1982,M,-123.2362497,49.25594723,482808.824,5455935.796
Near collision with moving object or vehicle,"Vehicle, side",2016-01-07T08:35:00,The infrastructure on the south-west side of this intersection pushed me  together with the car without warning because of a raised curb that blocks the protected bike lane entry. I had to merge over to get over the lowered curb and then shift back into the bike lane when the curb should be lowered.,,,,,,,-123.1063986,49.27714277,492261.0097,5458270.698
Near collision with moving object or vehicle,"Vehicle, angle",2016-01-14T17:30:00,"A driver, as they frequently do here, cut across the bike lane instead of staying in his lane. I had to kick the side of his car to  make him aware of my presence. Happens all the time at this corner.",Busy street bike lane,Downhill,NW,Turning left,1962,M,-123.125689,49.28894252,490860.0842,5459584.638
Near collision with moving object or vehicle,"Vehicle, angle",2016-01-19T08:15:00,Driver cut through the bike lane while rounding the bend and almost hit me. I had to bang on her car to make her aware of my presence.,Busy street bike lane,Flat,E,Heading straight,1962,M,-123.1363964,49.29645761,490082.9677,5460421.448
Near collision with moving object or vehicle,"Vehicle, angle",2016-01-18T11:45:00,"Riding west along Powell St in curb lane partly blocked by construction.  Car in outer lane queue swerved into curb lane at end of construction and touched me a glancing blow and almost knocked me off my bike - technically a hit and run.  The car, a dark coloured Ford Edge SUV did not stop.  ","Busy street, no bike facilities",Flat,W,Heading straight,1944,M,-123.0723238,49.28367987,494740.1627,5458994.501
Near collision with moving object or vehicle,"Vehicle, side",2016-02-03T18:55:00,"I was moving to the left side of the lane so that I could turn left into Britannia library entrance area.  A car came from behind and raced past me to try to get through the light at Napier or to ""show me"" I shouldn't be in his way.  ","Busy street, no bike facilities",Flat,N,Turning left,1974,F,-123.0694914,49.27484688,494945.2508,5458012.338
Near collision with moving object or vehicle,"Vehicle, rear end",2016-02-06T15:10:00,"A van was approaching behind me and started to accelerate like I wasn't there. An oncoming vehicle was about to pass. Since the van looked like it wasn't going to stop, I moved into an empty parking spot. ","Quiet street, no bike facilities",Flat,E,Heading straight,1989,M,-123.1377214,49.2653472,489980.3288,5456963.059
Near collision with moving object or vehicle,"Vehicle, side",2016-01-04T08:50:00,Vehicle turning right did not yield,"Quiet street, no bike facilities",Flat,E,Heading straight,,,-123.1360477,49.26527894,490102.082,5456955.249
Near collision with moving object or vehicle,"Vehicle, side",2016-02-02T08:00:00,"I was biking EB on Drake in the middle of the travel lane as I was going fast (perhaps ~30km/h).  Driver pulled out of laneway NB in front of me, apparently without checking the street?  I fishtailed but luckily was able to stop within feet of the car.","Quiet street, no bike facilities",Downhill,E,Heading straight,1977,M,-123.1263542,49.27515487,490809.1508,5458051.937
Near collision with moving object or vehicle,"Vehicle, side",2016-01-14T11:30:00,"I was returning home with groceries southbound. Preparing to turn left onto Keefer St., I went into the left travel lane and was honked at by the motorist who appeared behind me. She then swerved around me on the left side. almost hitting me.","Busy street, no bike facilities",,S,Heading straight,1962,M,-123.097263,49.27997049,492925.8999,5458584.161
Near collision with stationary object or vehicle,"Vehicle, open door",2015-11-03T14:45:00,"A grey SUV passed me as I was riding south on Prince Edward toward 33rd Ave. When they reached the intersection the passenger opened her door to get out & use the bike button, just as I was riding up. I yelled at her. She returned to the vehicle & the male driver screamed obscenities at me.","Quiet street, no bike facilities",Uphill,S,Heading straight,1975,F,-123.0969733,49.24045521,492941.3353,5454191.21
Near collision with moving object or vehicle,"Vehicle, side",2016-01-06T17:15:00,"An SUV ran a stop sign at the 2 way stop at Manitoba & 14th, as I was riding through the intersection. We both had to slam on our brakes & came within a metre of each other.","Quiet street, no bike facilities",Downhill,W,Heading straight,1975,F,-123.106994,49.25849958,492214.7663,5456198.187
Near collision with moving object or vehicle,"Vehicle, side",2016-02-19T17:45:00,"A sporty car was impatiently trying to pass, despite the lack of space to do so, and despite the fact that I was already exceeding the 30 km/h limit.  There was honking and engine revving.  This went on for several blocks.  Eventually the car pushed past me, with inches to spare.",,Downhill,E,Heading straight,1968,M,-123.0844474,49.26158743,493855.7169,5456539.387
Near collision with moving object or vehicle,"Vehicle, side",2016-02-23T09:10:00,Passed closely by a speeding car,"Quiet street, no bike facilities",Uphill,S,Heading straight,1975,F,-123.0968606,49.2419122,492949.7427,5454353.174
Near collision with moving object or vehicle,"Vehicle, side",2016-02-16T09:10:00,"Car driving west on 43rd  failed to stop at two way stop , forcing me to stop as I was turning left to go westboung on 43rd from Prince Albert. Happens regularly.","Quiet street, no bike facilities",Flat,NW,Turning left,1975,F,-123.0892324,49.23099449,493503.5497,5453138.77
Near collision with moving object or vehicle,"Vehicle, side",2016-02-09T17:30:00,Was riding with my daughter when a bigger SUV drove us off the road and cut us off as we rode towards the round-about on Blenheim and 37th.  Not the first time this has happened on this street. Fast moving drivers often get frustrated by the  bicycle traffic on the narrow parts of 37th ave.,,,,,,,-123.1785822,49.23854643,487000.5436,5453989.836
Near collision with moving object or vehicle,"Vehicle, side",2015-06-24T08:38:00,"Crossing Street Using Bike CrossingTaxi was waiting for light to turn green, proceeds when green.I was caught in middle of intersection with quick light change.Takes 5-6 seconds to cross main street on bike.Light changes from Green to Red in 3 seconds.",Busy street bike lane,Flat,E,Heading straight,,M,-123.1006479,49.27010777,492678.2473,5457488.04
Near collision with moving object or vehicle,"Vehicle, rear end",2016-02-19T17:30:00,"Travelling on my longtail with my two daughters. Vehicle became frustrated that they couldn't pass earlier, because of narrow roadway north of 33rd on collingwood. After I crossed 33rd the vehicle accelarated to a highspeed and came within a foot of our bike.",,,,,,,-123.181951,49.24225192,486756.307,5454402.359
Near collision with moving object or vehicle,"Vehicle, side",2016-02-26T18:15:00,I was heading S on the Hornby bike lane and dismounted my bike to walk across Hornby St towards the bike lane on Drake St. I had a white light for crossing. A driver was distracted when doing a right turn on Hornby to head North and did not see me on his right as I was already walking across.,Cycle track,Flat,S,Turning right,1983,M,-123.1296909,49.27739125,490566.8722,5458300.968
Near collision with moving object or vehicle,"Vehicle, angle",2016-02-26T18:05:00,I crossed the intersection heading S when the cyclist light turned green. A car heading N on Hornby and planning a right turn on W Pender St did not respect the restricted right turn on red light. The car did not stop and launched itself in the turn when I was almost across the intersection. ,Cycle track,Flat,S,Heading straight,1983,M,-123.1168002,49.28595785,491505.9544,5459251.794
Near collision with moving object or vehicle,"Vehicle, side",2016-03-01T01:30:00,"Car pulled up past me blocking me in against the curb then veered closer to make space for a vehicle travelling the other direction. Rear-view mirror knocked my kid riding on the back of my bike. She did not fall off the bike but made the bike tip, I jumped to brace the bike before falling. ",Busy street bike lane,Flat,S,Heading straight,1983,F,-123.1127501,49.24934692,491794.4226,5455181.294
Near collision with moving object or vehicle,"Vehicle, side",2016-02-08T08:50:00,"A parked car pulled out without looking, I had to swerve into opposite lane to avoid, luckily there were not cars approaching in the opposite direction.",,,,,,F,-123.105095,49.25943785,492353.0889,5456302.302
Near collision with moving object or vehicle,"Vehicle, side",2015-06-18T13:00:00,"Going East on 10th after  getting a green light, I could hear southbound car's engine  was sounding like it was accelerating instead than stopping for their red light.  I waited and a car went very fast through the red light. I think the driver facing into the noon day sun couldn't see the red light","Quiet street, no bike facilities",Flat,E,Heading straight,,,-123.1149548,49.26227009,491636.1502,5456618.206
Near collision with moving object or vehicle,"Vehicle, side",2016-03-04T09:15:00,Three cars turning right  on Davie St at the green light were oblivious to cyclists on the Hornby St bike lane and kept following each other without stopping or yielding and turning right without shoulder checking for cyclists on the bike lane.,Cycle track,Flat,N,Heading straight,1983,M,-123.1281567,49.27838866,490678.6526,5458411.66
Near collision with moving object or vehicle,"Vehicle, angle",2016-03-03T21:20:00,Riding on Moberly Rd. heading W when a car heading E decided to do a left turn on Millyard. The car first first signaled and stopped for few seconds then proceeded right in front of me. This was a close call!,"Quiet street, no bike facilities",Flat,W,Heading straight,1983,M,-123.1203622,49.26651288,491243.4759,5457090.492
Near collision with moving object or vehicle,"Vehicle, side",2016-03-08T16:00:00,"As I was approaching the intersection, I noticed a car behind me. They were not signalling so I assumed they were turning right. Out of courtesy I slowed and stopped a bit left of centre in the street to give them room on the right.Instead they ""gunned it"" on my left almost hitting me.","Quiet street, no bike facilities",Flat,N,Heading straight,1960,M,-123.1049824,49.24882166,492359.6475,5455122.087
Near collision with moving object or vehicle,"Vehicle, side",2016-03-10T09:00:00,"I was coming down Ontario, a car came driving along 11th, and slowed but didn't stop at the the stop sign.  I had to brake and swerve left onto 11th to avoid him. The driver braked and stopped half way across the intersection.",,,,,,,-123.1049824,49.26116032,492361.5516,5456493.778
Near collision with moving object or vehicle,"Vehicle, head on",2016-10-03T00:00:00,This section of the Balaclava bike route is extremely dangerous. Coming around the bend here is a blind spot for cyclists and cars. To make matters worse there are no traffic calming measures on this part of the route. I was nearly hit by speeding car traffic twice on this section. ,Quiet street bike lane,Flat,S,Heading straight,,,-123.1756639,49.25310062,487216.7277,5455607.327
Near collision with moving object or vehicle,"Vehicle, side",2016-03-13T14:00:00,"An eastbound Car2Go driver arrived at the traffic circle at the same time as me, but failed to yield until he nearly hit me. He then turned left onto Heather Street behind me, passing me closely at high speed before turning right onto King Edward.","Quiet street, no bike facilities",Downhill,N,Heading straight,1975,F,-123.1204426,49.24805127,491234.3531,5455038.12
Near collision with moving object or vehicle,"Vehicle, side",2016-03-12T12:00:00,"Vehicle making right hand turn on a red light didn't stop or look for bikes coming across green paint where I was biking with my kids, when we had the green light. I don't understand why right-turn on red is permitted here, the cars never stop or even look for bikes. ",Cycle track,Flat,W,Heading straight,1974,M,-123.1155127,49.26606832,491596.2038,5457040.519
Near collision with moving object or vehicle,"Vehicle, head on",2016-03-15T07:50:00,"Car turned left onto separated cycle track, so had to brake. Motioned car to stop. They realized where they were and backed up.",Cycle track,Flat,E,Heading straight,1958,M,-123.1134903,49.28181122,491745.9637,5458790.442
Near collision with moving object or vehicle,Animal,2016-03-15T16:05:00,"I was on the cycling side of the trail, when an unleashed dog ran in front of me. I slammed on the brakes and missed him by inches. I calmly said ""leash please"" and the owner responded ""calm down."" A cyclist going the other way said ""He's right, it is extremely dangerous.""",Mixed use trail,Flat,E,Heading straight,1958,M,-123.1044459,49.27570085,492402.8157,5458110.201
Near collision with moving object or vehicle,"Vehicle, side",2016-03-27T14:00:00,Aggressive  truck driver travelling west along 10th.  The truck sped up and swerved towards us as we approached the intersection. ,"Quiet street, no bike facilities",Flat,S,Heading straight,,,-123.1740761,49.26343584,487334.9235,5456756.028
Near collision with moving object or vehicle,"Vehicle, angle",2016-04-05T08:45:00,Riding straight on the Horny bike lane across Davie St at green light. Car moving in same direction in right turn lane on Hornby St. Car moving at same speed and level as me for 50 m and I made eye contact with passenger. Car did a right turn without yielding or slowing down nearly hitting me.,Cycle track,Flat,NE,Heading straight,1983,M,-123.1281459,49.27838866,490679.433,5458411.659
Near collision with moving object or vehicle,"Vehicle, head on",2016-04-08T17:30:00,I turned from the centre bike lane from Beatty to a bike lane on Smithe  with a green light. A car in the opposite direction almost hit me. It swerved to avoid me and I braked at the last moment. The unfamiliar move was a distraction which kept me from noticing the car.,"Busy street, no bike facilities",Flat,SE,Turning left,1989,M,-123.1156147,49.27656531,491590.573,5458207.485
Near collision with moving object or vehicle,"Vehicle, side",2016-03-30T08:45:00,SE light turned green while entering the bike box.,Busy street bike lane,Uphill,NE,Turning left,1989,M,-123.1313699,49.27632382,490444.5386,5458182.512
Near collision with moving object or vehicle,Pedestrian,2016-04-14T17:20:00,Coming down an alley - downhill. Taking a left-hand turn.  My fault - took a short cut so went straight from the alley to the sidewalk as the bike rack was on the sidewalk just 20ft from the alley and I was in a rush. Beau Photo door opens suddenly and I brake so hard I fall into the hydro pole. ,"Quiet street, no bike facilities",Downhill,NW,Turning left,1977,F,-123.1392181,49.26620834,489871.6174,5457058.991
Near collision with moving object or vehicle,"Vehicle, rear end",2015-07-26T11:55:00,Car started edging toward the rear of the bike my daughter and I was riding. They kept reving their engine and edging closer to move us off the road so that they could make a right.  The intersection itself is difficult enough to cross without the aggressive/angry drivers.,,,,,,,-123.1743765,49.25765581,487311.5853,5456113.511
Near collision with moving object or vehicle,"Vehicle, side",2016-04-18T08:50:00,Evo carshare driver slowly pinched me against the curb (they werent paying attention?). A painted bike lane doesnt protect you from that. ,Quiet street bike lane,Flat,W,Heading straight,1983,F,-123.1139839,49.26832961,491707.8105,5457291.739
Near collision with moving object or vehicle,"Vehicle, side",2016-04-13T16:30:00,This happens here all of the time: cars drive by too fast and too close. This time a SUV driver drove by me recklessly close. ,"Quiet street, no bike facilities",Flat,E,Heading straight,1983,F,-123.1247181,49.26621184,490926.5221,5457057.538
Near collision with moving object or vehicle,"Vehicle, side",2016-04-11T17:50:00,"Car travelling S failed to stop at stop sign, shrugged an apology at me upon making eye contact as I swerved around them.","Quiet street, no bike facilities",Flat,NW,Turning left,,,-123.0620241,49.26066319,495487.1207,5456435.059
Near collision with moving object or vehicle,"Vehicle, side",2016-04-28T13:15:00,City of Vancouver Engineering dump truck attempted to run a red light. I was leaving the bike lane to cross intersection. Luckily he stopped in time and didn't hit me. This is a bad intersection.,Mixed use trail,Flat,S,Heading straight,1965,F,-123.0961955,49.26686293,493001.6883,5457126.888
Near collision with moving object or vehicle,"Vehicle, angle",2016-04-28T09:30:00,Have had multiple near misses here. Cars turn right and don't check bike lanes. Need physical barrier. ,,,,,,,-123.1173849,49.26588979,491459.9678,5457020.881
Near collision with moving object or vehicle,"Vehicle, rear end",2016-04-06T10:55:00,Cut off by car pulling out from south side of adanac going W. Turns left with no signal and i follow behind. Car then turns right to continue into adanac without a signal as I took a sharp right to avoid being hit. Car swings immediately into a driveway right after his right turn nearly hitting me. ,Quiet street bike lane,Flat,E,Turning left,1991,F,-123.0792171,49.27727926,494238.0951,5458283.443
Near collision with moving object or vehicle,"Vehicle, head on",2016-04-04T08:10:00,A car came down the hill at full speed and ran through the red light while I was crossing.,,,,,,,-123.1878412,49.26349885,486333.4482,5456765.431
Near collision with moving object or vehicle,"Vehicle, side",2016-04-29T06:55:00,riding South in bike lane and a car traveling North on Hornsby (one way) turned into the bike lane to cross it and enter the parking garage.  I was traveling 20 km/hr and was only 5 m from the car when it stopped in my S bound lane.  I would likely have hit the car if it had not stopped.  ,Quiet street bike lane,Flat,S,Heading straight,1952,M,-123.1175619,49.28539099,491450.4599,5459188.861
Near collision with moving object or vehicle,"Vehicle, side",2016-04-28T08:00:00,"I (riding straight through going west on 10th ave), and another cyclist to my left (coming north on Ontario) had entered a roundabout. We were both on cycle routes. A driver approached the roundabout to my right, heading south on Ontario. He did not look left! I screamed to alert him. I was 3ft away",Quiet street bike lane,Flat,W,Heading straight,1954,F,-123.1049234,49.26206354,492365.9844,5456594.183
Near collision with moving object or vehicle,"Vehicle, side",2016-05-03T07:45:00,"I was riding when a car (that was moving slowly due to traffic) suddenly turned in front of me to enter an alley.  I was able to avoid him (but did loose control of my bike), largely in part that I have disc brakes. The driver admitted he didn't see me, and was unaware he had to yield to bikes there",Busy street bike lane,Downhill,S,Heading straight,1973,F,-123.0413818,49.22072255,496986.6254,5451993.834
Near collision with moving object or vehicle,Another cyclist,2016-05-03T11:45:00,The cyclist in front of me was distracted looking over at the science world and the water and feared across the track so that I almost hit them,Mixed use trail,Flat,S,Heading straight,1976,F,-123.1025684,49.27248438,492538.8995,5457752.437
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-02T04:30:00,Car coming towards us  in the opposite direction while we were riding our bikes West on 37th.  The car did not give us adequate space and did not slow down. The vehicle narrowly missed us.,,,,,,,-123.166759,49.23856044,487861.1861,5453989.428
Near collision with moving object or vehicle,"Vehicle, side",2016-05-05T09:25:00,We were travelling north on Collingwood and waiting at the intersection. When the light changed a car ran the red light a few seconds after it changed  at high speeds and narrowly missed us.,,,,,,,-123.1820154,49.23474258,486749.6128,5453567.559
