i_type,date,p_type,details,age,sex,longitude,latitude,X,Y
Blind corner,2016-05-29T18:00:00,hazard,There are poor sight-lines at this corner of the seawall and no demarcation of lanes for cyclists which have resulted in head on collisions of cyclists ,1990,M,-123.1179428,49.26949172,491420.0039,5457421.373
Road surface,2016-06-01T07:45:00,hazard,Groove in bike trail size of bike tire,,,-123.0448902,49.25915952,496733.6889,5456267.014
Other,2016-05-31T04:30:00,hazard,Overgrown blackberry bushes obstruct the cycling path.,,,-123.136611,49.2968984,490067.455,5460470.48
Pothole,2016-06-01T08:00:00,hazard,,,,-123.1430483,49.24754,489589.0378,5454984.149
Vehicle in bike lane,2016-06-01T16:10:00,hazard,Motorist parked in separated bike lane blocking bicycle traffic in both directions.,1978,M,-123.1170523,49.20920788,491474.4142,5450719.527
Road surface,2016-06-03T00:00:00,hazard,Construction blocking the intersection.  Proceed with care.,,,-123.1456876,49.26547322,489400.7924,5456978.155
Pedestrian conflict zone,2016-06-02T16:10:00,hazard,"Pedestrians are oblivious that the right side of the bridge heading North is for cyclists only. Obviously there will be few, but then they should be mindful of the cyclists and not insist on their perceived right to be there. They wear headphones, so their completely ignorant of their surroundings.",,,-123.1387782,49.27479088,489905.3709,5458013.057
Other infrastructure,2016-06-06T09:45:00,hazard,"Motorist attempting to crowd me off of the road, honking, yelling, swerving around me. I was in the centre lane headed south, moving at the speed of traffic. The  motorist was in the passing lane behind other traffic, then swerved behind me, and into the right turn lane.",1978,M,-123.1172669,49.21098817,491459.0921,5450917.464
Dangerous intersection,2013-09-13T08:15:00,hazard,Timing between the  Flashing Hand (Don't Cross) Pedestrian Signal and the Green Light is very short. Be careful if you are trying to rush and make the crossing as the traffic may start to move on you. ,1988,M,-123.2426548,49.27927057,482351.0647,5458530.135
Other infrastructure,2016-06-06T17:35:00,hazard,"Loose gravel on inside corner where you turn from Rupert onto Central Valley Greenway. I spilled turning right - it's downhill on Rupert and if you turn and brake at the same time, be prepared to spill.",1980,F,-123.033936,49.2603201,497530.7952,5456395.62
Vehicle in bike lane,2016-06-22T09:50:00,hazard,A vehicle was stopped in the bike lane before the lane goes up the sidewalk eastbound before Cambie St blocking bicycle travel.  It is a no stopping zone.,1984,F,-123.1170416,49.23346055,491479.3663,5453415.683
Dangerous intersection,2016-06-15T16:45:00,hazard,traffic control is required at the intersection of 22nd and Slocan for cyclists to travel safely north or south on Slocan,,,-123.049686,49.25064954,496384.1148,5455321.176
Narrow road,2016-06-15T16:40:00,hazard,"Vanness Ave does not have the width to accommodate two way vehicle traffic, parked cars, and cyclists.  Everyday I witness near misses the vehicles.  Traffic calming is required.",,,-123.0341721,49.23922591,497512.5617,5454050.584
Other infrastructure,2016-06-26T10:30:00,hazard,"Very awkward sharp turn up a hill and across traffic when going south and turning east onto the path, right at an intersection with turning cars.The informal path that has been closed off by the Park Board had better sight lines and was much safer.",,,-123.1596887,49.27289739,488383.9117,5457805.56
Vehicle in bike lane,2016-04-15T22:00:00,hazard,I can often see at night cars going in either direction on the short segregated bike lane on 7th Ave east of Arbutus St. There is nothing preventing cars to drive on the bike lane.,1983,M,-123.1250185,49.28048142,490907.2901,5458643.931
Train track,2015-07-08T14:15:00,hazard,"My front wheel got caught in a train track on granville island near the brewery and I fell over my handlebars going at a casual speed and badly broke my leg. All they have to do is fill on the tracks with sand or concrete, yet they knowingly do nothing each year while dozens of people fall. ",,,-123.1358563,49.27088717,490117.1282,5457578.694
Other infrastructure,2016-07-22T17:35:00,hazard,"In evening rush-hour, I am often overtaken by Eastbound cars, who use the oncoming lane.  They can't see oncoming cyclists, while doing this.",1963,M,-123.1700474,49.27107733,487629.9443,5457604.867
Pothole,2016-05-14T14:00:00,hazard,Between the bricks and asphalt there is a pothole that caught my wheel and threw me face first into the road,,,-123.0655003,49.28430974,495236.4737,5459064.071
Pothole,2014-09-15T09:05:00,hazard,Got caught by pothole abd tipped over on bike,,,-123.1176853,49.28008247,491440.5684,5458598.723
Other infrastructure,2016-08-15T10:10:00,hazard,Te bike lane comes from behind traffic on the left hand size and is hard to see,,,-123.0664015,49.26132836,495168.6882,5456509.277
Road surface,2016-05-10T13:40:00,hazard,Wheel got caught in train tracks and my bike flipped me over the handlebars,,,-123.1363285,49.27053538,490082.7111,5457539.647
Train track,2016-08-25T18:00:00,hazard,Came off my bike after it slid on the train tracks. I tried to cross them at an angle to avoid an accident but due to traffic lanes merging I had to straighten up to avoid a car. I wish the city would either remove them or fill them in as this area is great to bike to.,1985,F,-123.1360745,49.27073081,490101.2213,5457561.34
Road surface,2016-08-28T14:40:00,hazard,"I rode towards the western point of the path around Science World. It was raining, my wheels slipped out from under my bike and I fell. The pavement there is covered with gray paint that caused my bike to lose traction. The wet unpainted pavement nearby was not slippery.",1981,F,-123.1033945,49.27318089,492478.9112,5457829.95
Other,2016-10-14T15:15:00,hazard,"Fallen down tree making street completely impassable. 311 has been notified and treating as ""immediate action"".",1986,M,-123.1478789,49.22825942,489233.2755,5452841.408
Dangerous intersection,2016-10-05T14:50:00,hazard,"This is a DANGEROUS intersection. Motorists will dart across York Avenue without looking carefully, cutting off bicyclists who have the right of way. I know this spot, but I still have my share of near misses here.",1955,M,-123.1526291,49.27167586,488897.1655,5457668.701
Other infrastructure,2016-10-13T09:45:00,hazard,"Entry from bike lane to shared sidewalk, has very abrupt ramp.  Most cyclists avoid this cycling infrastructure in favour of the general traffic lanes of the roundabout.",,,-123.2359841,49.25599975,482828.1647,5455941.574
Dangerous intersection,2016-10-25T16:25:00,hazard,"There is traffic control at this intersection to prevent cars from travelling north/south on Heatley Ave. But bikes also can't pass through. Lots of cyclists seem to use heatley to access the union bike lane, so it would be great if this barrier could be renovated to allow bikes to pass through.",,M,-123.0897045,49.2790536,493475.5187,5458481.55
Poor visibility,2016-10-26T21:00:00,hazard,This section of the bike street from Windsor to China Creek South Park is extremely dark at night and makes it hard to see the road and pedestrians etc. ,1990,F,-123.0811751,49.2615034,494093.7949,5456529.785
Narrow road,2016-10-27T20:00:00,hazard,The Bike path across the Knight Street Bridge on the West side is very narrow and crosses a number of car off ramps.   Two bikes could not pass each other here.  It become a stream when it rains hard and should be avoided in the rain.,1956,M,-123.1453657,49.25716215,489422.4329,5456054.166
Vehicles enter exit,2016-11-08T18:00:00,hazard,Cars are usually parked next to the field. They often pull out onto the road without checking. Watch out! ,1988,F,-123.1313404,49.27629407,490446.6789,5458179.201
Vehicles enter exit,2016-11-08T18:00:00,hazard,Cars like to park next to the field for kids soccer games. They usually pull out onto the road without checking. Watch out!,,,-123.094275,49.27388089,493142.3765,5457906.902
Vehicles enter exit,2016-11-25T17:40:00,hazard,"I have consistently had problems with vehicles trying to cross this intersection, including two near misses.",1987,M,-123.0849641,49.2773908,493820.0942,5458296.297
Pedestrian conflict zone,2016-08-01T12:00:00,hazard,Tour buses offload foreign tourists here and many of them walk onto the bike path without looking. It is also common for people on the pedestrian path to suddenly turn and step onto the bike path without looking. Near-collisions happen many times a day during the summer.,,,-123.130753,49.29770302,490493.5219,5460559.176
Pedestrian conflict zone,2016-08-01T12:00:00,hazard,Tour buses offload foreign tourists here and many of them walk onto the bike path without looking. It is also common for people on the pedestrian path to suddenly turn and step onto the bike path without looking. Near-collisions happen many times a day during the summer.,,,-123.1212366,49.29849362,491185.564,5460645.914
Poor signage,2016-08-01T12:00:00,hazard,This is the sharpest corner on the seawall. It is often wet and if you try to take it at the posted maximum speed of 15 km/h you will find it very hard to stay on the raised bike path. There is no signage at all to warn you that this is the case.,,,-123.1306779,49.27232688,490494.1053,5457738.082
Dangerous vehicle right turn,2016-11-16T17:00:00,hazard,Vehicle making right turn onto Hornby on red light,1960,M,-123.1234574,49.28166074,491021.0404,5458774.85
Dangerous vehicle right turn,2017-04-03T15:50:00,hazard,Vehicles west bound on Expo Blvd turning right on to Smithe St on a  red light when it is NOT permitted. Drivers either can't see the No Right Turn On Red sign or are ignoring it.  This is extremely dangerous because vehicles are crossing a bike lane which has the green light.,1965,M,-123.114692,49.2758076,491657.5579,5458123.148
Other infrastructure,2017-04-04T16:05:00,nearmiss,Heading southbound on Columbia Street approaching W 6th Ave. The Handy Dart driver heading west bound pulls away from the stop sign across my path. Driver did not yield. This particular professional driver needs a refresher driver training course!,1965,M,-123.109467,49.26570076,492035.982,5456999.002
Dangerous vehicle right turn,2017-04-05T16:00:00,hazard,"Two vehicles west bound on Expo Blvd turning right on to Smithe St on a  red light when it is NOT permitted. Both drivers either can't see the No Right Turn On Red sign or are ignoring it.  Bikes proceeding on their green light are placed in a dangerous situation. Law enforcement needed.",1965,M,-123.1147161,49.27581285,491655.8029,5458123.734
Dangerous vehicle right turn,2017-04-28T16:55:00,hazard,Two vehicles west bound on Expo Blvd turning right on to Smithe St on a red light when it is NOT permitted. The second driver turned right on red without stopping!,1965,M,-123.1146544,49.27586184,491660.2984,5458129.175
Pedestrian conflict zone,2017-04-28T17:05:00,hazard,"Two pedestrians walking west bound on the south side of Broadway @ Columbia, crossing against the red traffic light signal.",1965,M,-123.1094751,49.26308227,492034.9751,5456707.905
Narrow road,2017-05-09T12:50:00,hazard,"Lane was too narrow for trucks and bikes to share safely. The lane had sharrow markings too.A video of the incident is available.https://youtu.be/hG1mUyfV6XM",1989,M,-123.1009161,49.2546605,492656.4434,5455770.788
Poor signage,2017-05-09T15:00:00,hazard,"See my Collision report. There should be some kind of Stop/Yield sign at this location as it is a very high traffic area and bicycles and pedestrians are coming from all directions",1980,F,-123.1042421,49.27194012,492417.0667,5457692.097
Vehicle in bike lane,2017-05-18T06:40:00,hazard,A garbage truck regularly blocks the entire street (including bike route) for 20 minutes while he waits to start his route.  He parks on the wrong side of the road in a no stopping zone.  This leave only a very narrow corridor for cycling to squeeze through.,,,-123.0307925,49.28066689,497760.4429,5458657.485
Dangerous vehicle right turn,2017-05-17T15:55:00,hazard,There is a No Right Turn on Red regulation for west bound Expo Blvd to north bound Smithe St. The driver of a black KIA Sportage turned right on red without stopping as I was proceeding south bound in the bike lane through the intersection.,1965,M,-123.1146652,49.2758216,491659.5112,5458124.701
Pedestrian conflict zone,2017-05-19T16:05:00,hazard,"Three ignorant teen age pedestrians walking east bound on the north side of Broadway @ Columbia, crossing against the Broadway red traffic light signal.",1965,M,-123.1094751,49.26314878,492034.9858,5456715.299
Dangerous vehicle right turn,2017-05-25T16:00:00,hazard,Driver of a silver Toyota Corolla west bound on Expo Blvd turning right on to Smithe St on a red light against the No Right Turn On Red sign. Dangerous situation for cyclists in the bike lane. ,,M,-123.1147027,49.27582335,491656.7802,5458124.9
Dangerous vehicle right turn,2017-06-06T16:00:00,hazard,Black beater VW  Golf west bound on Expo Blvd turning right on to Smithe St on a red light.  No Right Turn On Red ignored. This is extremely dangerous because vehicles are crossing a crosswalk as well as a bike lane which has the green light. Police enforcement required.,,M,-123.114574,49.27586884,491666.1525,5458129.944
Dangerous intersection,2017-06-07T18:00:00,hazard,The bike only ride through path is clearly designed to slow bike traffic by being curved but heading east it serves to distract cyclists from the traffic crossing the intersection immediately after by focusing their attention on going round the curve instead of looking both ways.,1979,M,-123.0875298,49.27744527,493633.4868,5458302.566
Dangerous vehicle right turn,2017-06-12T16:00:00,hazard,Dark grey Toyota Forerunner west bound on Expo Blvd turning right on to Smithe St on a red light. No Right Turn On Red disregarded. A danger to pedestrians about to step off into the crosswalk as well as cyclists in the bike lane which has the green light. Red light signal or camera required.,,M,-123.1146061,49.27591959,491663.8199,5458135.589
Curb,2017-06-15T15:10:00,hazard,"16th and Heather bike light buttons. The bump out is great for pedestrian safety, but cars tend to pull up close to the curb, making it impossible for cyclists to get to the bike button. Particularly when crossing southbound on Heather.Also, for a supposed bike route, there is mucho car traffic.",1970,M,-123.1202757,49.25690688,491248.0661,5456022.579
Dangerous intersection,2017-06-01T09:00:00,hazard,Several bike commuters cross nanaimo at this intersection without a light or crosswalk to get from the neighborhood east of nanaimo to the trout lake trail system,,,-123.0566597,49.25371688,495876.8575,5455662.529
Dangerous intersection,2017-06-24T17:50:00,hazard,There is a crosswalk here and it's the only safe entrance back onto a separated bike lane after the Spirit Trail disappears just before crossing Capilano River. Vehicles rarely slow down or stop for cyclists or pedestrians. The painted crosswalk is also partially obscured due to repaving,,,-123.13637,49.29655801,490084.9107,5460432.606
Dangerous vehicle right turn,2017-07-14T16:00:00,hazard,White SUV west bound on Expo Blvd turning right on to Smithe St on a red light. No Right Turn On Red ignored. A dangerous conflict for cyclists in the bike lane which has the green light. Red light camera required.,,M,-123.114633,49.27587409,491661.8613,5458130.534
Dangerous vehicle right turn,2017-07-26T08:45:00,hazard,"Cars turning north (right) from Dunsmuir on to Burrard often move into the cycle lane without looking for cyclists, obstructing the route of cyclists continuing west on Dunsmuir.  Intersection is lacking signage & green paint on bike lane to warn drivers to look for cyclists.",1980,F,-123.1193107,49.28554495,491323.3077,5459206.177
Other infrastructure,2017-08-12T09:00:00,hazard,"Caution for cyclist travelling down Nelson Street,  watch your speed as cyclists are travelling in the wrong direction up Nelson -  potential for head on collision.",,,-123.1210005,49.27793021,491199.0652,5458359.835
Dangerous vehicle right turn,2017-08-11T08:10:00,hazard,"Vehicles are not stopping / doing shoulder check for cyclists travelling through intersection,  Secondly very narrow bike lane and uneven surface.",,,-123.1201154,49.27737725,491263.3471,5458298.26
Road surface,2017-09-28T07:30:00,hazard,The road surface on 10th essentially from Macdonald to Arbutus is HORRIBLE. Makes me angry every single day. ,1994,F,-123.158412,49.26295974,488474.4692,5456700.593
Road surface,2017-11-01T09:00:00,hazard,"Firstly, this fir some reason, is an intersection where you need to be very mindful of drivers running through the stop sign. Added to that, the pavement is very challenging here with ruts, many small potholes and a raised manhole cover.",1970,M,-123.128736,49.25876741,490632.7997,5456230.429
Vehicle in bike lane,2017-11-14T08:45:00,hazard,"The section from 2nd to 16th is awful. Cars go fast, and dont seem to care about cyclists. There are WAY too may cars for this to be a bike route.",,,-123.1200242,49.25775734,491266.5179,5456117.097
Dangerous intersection,2017-08-26T15:35:00,hazard,Eastbound bike lane just ends in a really busy intersection and there is no option for  going further east than a HUGE detour/riding on the sidewalk as the next blk of Smithe across Burrard is one-way in the opposite direction. One blk of sidewalk and you  are back on a bike lane.  Pls connect this!,1970,M,-123.1244069,49.28224514,490952.0909,5458839.932
Road surface,2017-11-08T08:45:00,hazard,"Road surface on 15th between Main and Quebec is of terrible quality and barely rideable, It has been this way for a while and stands alone, as all surrounding roads are  of decent quality. I`m not sure why this one specific spot is so much worse.",1970,M,-123.1021714,49.25756828,492565.5353,5456094.169
Train track,2017-11-26T19:00:00,hazard,"The stop signs should be reversed- to stop the traffic on Glen Drive- until the traffic is cleared on Parker Street once the train moves. People on bikes are vulnerable because of the dark, the train, and the semi truck traffic.",1980,F,-123.0811429,49.27595284,494097.8606,5458136.133
